Name,Type,One Liner,Industry,Website,Service / Product Description,Business Model,Technology,Customer,Pain Point,Value Chain,Theme,Focus Area,Opportunity Space,Founded,Employees,Country,City,Funded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Inc. Radar,Hero,Comments,,,Old or New
Cavendish Nuclear,,"Nuclear project development, installation and decommissioning services provider",Nuclear Reactors,,,,,,,,,,,2013,,England,Irlam,No,Unfunded,,,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
Ceko Sensors,,Optical MEMS sensors,,https://cekosensors.com/,"Ceko Sensors develops high sensitivity optical MEMS sensors for acceleration, pressure and sound sensing. It is based on optical technology known as refractive index modulation (RIM). Its products include optical MEMS accelerometers, optical microphone and plan to launch similar sensor applications. Some of the applications of the technology include structural health monitoring, production optimization on wind turbine blades, marine vessels etc.",,,,,,,,,2015,,Denmark,Lyngby,Yes,Seed,,55000,,,,,,,,Eco friendly enforcement & enablement,Retrofitting existing vessels with green tech,Old
Celerco,,SaaS for auction based freight procurement,Maritime,https://www.celerco.com,"Celerco provides a SaaS for shippers, freight forwarders and shipping lines. Customers can use the platform to create a shipment request and send it to multiple carriers. After the carriers send their proposals, the customer can evaluate multiple offers and award the contract to one of them.",,,,,,,,,2010,,Romania,Navodari,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Cella Energy,,Makes hydrogen storage systems,Renewables,,,,,,,,,,,2011,,England,Didcot,No,Seed,,1767000,,Existing,,,,,,Fuel & Efficiency,New Fuel Types,Old
Cenergist,,Turnkey solutions for energy and water efficiency,Energy,,,,,,,,,,,2012,,England,Newcastle Upon Tyne,No,Seed,,584218,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Central De Fretes,,Tools for transportation management,Logistics,http://www.centraldefretes.com,"Freight Central (Central de fretes) is a software solution provider. The company has tools and software for businesses in transportation and logistics operations. The products include a TMS solution, with features like tracking and managing freight based on performance indicators; a scheduling tool for managing the flow of inventory; a WMS for visibility and operation management for warehouses; and tools for freight auditing, calculating spot freight rates and RFPs.",,,,,,,,,2006,,Brazil,Belo Horizonte,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Ceragen,,Solid Oxide Fuel cell developers,Renewables,,,,,,,,,,,2014,,Germany,Unterhaching,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,New Fuel Types,Old
Cereus Technology,,Fuel efficient combustion technology for engines,Engines,,,,,,,,,,,2015,,Netherlands,Eerbeek,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
CFS,,Tokamak nuclear fusion reactors developer,Nuclear Reactors,,,,,,,,,,,2018,,USA,Cambridge,No,Series A,,179594246,,Existing,,,,,,Fuel & Efficiency,New Fuel Types,Old
Cgon,,Hydrogen fuel cells,Renewables,,,,,,,,,,,2013,,England,Exeter,No,Seed,,258751,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
Chainergy,,Peer to Peer Energy trading,Energy,https://www.eco-start.com,"Chainergy offers a digital interface for peer to peer Energy trading. The decentralized marketplace connects people who produce Energy from windmills, solar panels, biomass or get it from the grid and enable them to sell/purchase the excess Energy using a dedicated currency.",,,,,,,,,2012,,Germany,Berlin,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
Chainge Energy,,Provider of a network of nanogrids with interconnected Energy distribution,Energy,https://www.wpay.sg,"Chainge is a provider of microgrid management solutions via nanogrid integration. The solution offered by the company involves the integration of blockchain technology and Energy generation with options for payments to be made using cryptocurrency. Uses a machine learning algorithm to balance the grid distribution of the integrated interconnected system of nanogrid photovoltaic systems. Energy generated in each of the nanogrids is distributed across the network based on demand as determined by the machine learning algorithm, and to allow for payment of the Energy provided a system is created wherein cryptocurrency is used.",,,,,,,,,2017,,England,London,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
ChainGo,,,,,Blockchain solution for cargo documentation,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Chakr,,,,https://www.chakr.in,Chakr Shield is an innovative emission control device that captures pollution at source and converts it into something useful!,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Chakratec,,Flywheel storage system,Energy,,,,,,,,,,,2013,,Israel,Rosh Haayin,No,Series C,,7600000,,Distant,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Chartering Shipbrokers,,Online ship chartering marketplace,Maritime,http://www.chartering-shipbrokers.com,Chartering and Shipbrokers is an online marketplace where traders can search for available carriers based on open tonnage or cargo. The carriers are listed along with the information about loading and unloading locations and travel time. The carriers can list their details on the platform by sending an email and the details are listed on the platform. Their mobile application is available for Android and iOS platform.,,,,,,,,,2014,,Vietnam,Ho Chi Minh City,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
CharterSync,,Online platform to book air freight transport,Maritime,https://www.chartersync.com,"CharterSync is an online marketplace to book air freight transportation services. The platform connects shippers/freight forwarder with a network of carriers/operators, and enables users to search, book & track services. The platform also has integrated workflow management & real-time location tracking functionalities.",,,,,,,,,2017,,England,London,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Cheap2Ship,,Online platform for booking multi-modal freight transportation,Maritime,https://www.cheap2ship.com,"Cheap2Ship is an online platform for booking multi-modal freight transportation. Users (shippers & freight forwarders) can register and post their load requirements on the platform. Users then receive multiple bids from the carriers on the platform. Users can compare, choose the required bid and connect with the respective carrier. Earns revenue by charging a fixed commission from carriers for every successful booking.",,,,,,,,,2017,,Brazil,Bombinhas,Yes,Funded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
CheapCargo,,Online marketplace for booking freight carriers,Maritime,https://www.cheapcargo.com,"CheapCargo offers an online platform for booking freight carriers for national and international shipping. The service can be used to send documents, packages, and pallets in the Netherlands and abroad. Users can enter in the shipment details such as start and end destination, weight, size, etc., generate a quote, select one from various carriers depending on their requirements and book online. Accepts online payment via PayPal, credit card, PayPal, direct debit or invoice.",,,,,,,,,2009,,Netherlands,Nijmegen,Yes,Acquired,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Cheaper Freight Shipping,,Online listing platform for carriers,Maritime,https://www.cheaperfreightshipping.com,"Cheaper Freight Shipping provides shippers, freight forwarders, and brokers information about freight carriers, loads and shipping rates. Cheaper Freight Shipping Services helps connect small or mid-sized businesses with registered carriers providing instant online quotes to find the best shipping rates for both domestic and international shipping.",,,,,,,,,2010,,USA,Zebulon,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Chemanman,,Online freight marketplace with TMS offering,Logistics,https://www.chemanman.com,"Chemanman provides an online platform for matching shippers and carriers. The company provides a  SaaS-based TMS platform to its customers for free and earns revenue through the marketplace and selling insurance services. The company has 2 web platforms and 3 mobile applications as its products which are used by different stakeholders of the value chain. As of Nov 2016, the company claimed to have 2 million truck drivers, more than 30,000 logistics companies, and 200,000 cargo owners on the platform.",,,,,,,,,2015,,China,Beijing,Yes,Series B,,21395500,,Existing,,,,,,Data & AI,Fleet Utilization,Old
CHOOOSE,,Cryptocurrency platform provider backed by CO2 emission permits,Blockchain,https://chooose.today/,"ChoooseCoin is a cryptocurrency backed by CO2 emission permits. The platform tokenizes the carbon cuts and enables companies and people to monetize their CO2 cuts. Users are rewarded for their climate positive efforts. The platform offers carbon neutrality by buying and deleting CO2 emission quotas. Multiple plans are available on the platform based on different carbon cuts. The clients of the company include Designers Remix, Fortum, Telia, Santander, and more.",,,,,,,,,2017,,Norway,Oslo,Yes,Seed,,4000000,,Emerging,,,,,,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old
Chuanlaoda,,Online marketplace for freight transporters through ships,Maritime,http://www.chuanlaoda.cn/web/,Chuanlaoda is a freight marketplace which lets freight owners and freight transporters post their requirements on the platform. Claims to have an intelligent algorithm which matches requirements of both the sides. The platform is for users who ship goods using inland river and other water ways in China and outside of China. Claims to have more than 2300 merchants and 10k vessel merchants registered on its platform.,,,,,,,,,2014,,China,Shanghai,Yes,Series A,,4700000,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Claritecs,Startup,Automated bunker diagnostics platform,,http://claritecs.com/,Claritecs is a maritime solutions startup that leverages a foundation of maritime expertise to develop digital applications for decision-makers in shipping operations and commercial management.,,,,,,Digital Trading,Digital Bunker Trading,,2017,,Singapore,Singapore,,Seed,,600000,,,,,TRUE,,,Smart Ports,Data audit & standardisation,Old
Clean Energy Blockchain Network,,Blockchain-based solution to track & trade Energy,Blockchain,https://www.earth-token.com,"Clean Energy Blockchain Network is developing a blockchain-based solution to trade & track Energy in kWh and credits. Utilizes blockchain technology to identify, certify, inspect, and audit clean Energy at its source. The company provides Blockchain-of-Custody for vetting & verifying of clean Energy credits, such that RECs and carbon credits.",,,,,,,,,2017,,USA,New York City,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
CleanO2 Carbon Capture Technologies,,Residential carbon capture device,Chemicals,https://www.cleano2.ca,CleanO2 Carbon Capture Technologies claims to have developed world's first residential carbon capture device. The CleanO2 machine dubbed CARBiNX circulates cold air from outside through a heat exchanger to cool the fumes to make it easier to dissolve the carbon dioxide with an atomized solvent spray. The solvent is then circulated through polystyrene resin beads which strip off the carbonate ions so the liquid is ready to be used again.,,,,,,,,,2010,,Canada,Calgary,Yes,Funded,,,,Existing,,,,,,"Carbon CS, offsetting & trading",Carbon Capture & Storage,Old
ClearCell Power,,Fuel cell project developers,Energy,,,,,,,,,,,2015,,USA,New York City,No,Seed,,631000,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
ClearFlame Engines,,Renewable fuel drop in engine with more power and less soot and better efficiency,Engines,,,,,,,,,,,2016,,USA,Chicago,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Clearlinks,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,Old
ClearView Trade,,SaaS for cross border trade documentation,,http://clearviewtrade.com/,"Clearviewtrade provides a SaaS-based platform for electronic documentation involved in cross-border logistics. It features a data repository which contains product descriptions, partner profiles, tariff codes and consignment records. Customers can access this data pool and create and manage consignments. It also provides invoicing functionality and integration with ERP. Partners include Taxback International, Toxkiar and Fortoldningsbutikken among others.",,,,,,,,,2014,,Denmark,Brabrand,Yes,Undisclosed,,55000,,,,,,,,Supply chain optimisation,3.6 Digitisation of supply chain contracts (inmarsat),Old
Climate Care,,"structure, develop and deliver large-scale emission reductions for governments and organisations, helping them meet their compliance obligations",Offsetting,,,,,,,,,,,,,,,,,,,,Existing,,,,,,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old
Climate Neutral,,Green certification for consumers and carbon footprint pricing,Logistics,http://climateneutral.org/,"Climate Neutral believes that brands, together with their consumers, can lead the transition to a low-carbon economy by placing a price on carbon within their business.

Climate Neutral was created to help make this process as simple, actionable and credible as possible through a three-step process which enables brands to measure their carbon emissions, purchase carbon credits to offset their entire footprint, and identify opportunities to reduce emissions. Then, they can use the Climate Neutral Certified label to show consumers they're taking serious action on climate change.

It also shows to  government that it’s time to put a global price on carbon.",,,,,,,,,,,,,Yes,,,,,Distant,,,,,,Business Model Innovation,Green Freight,Old
ClimateSeed,, online platform that connects sustainable project carriers with organizations. It enables organizations in funding sustainable projects to balance their carbon emission.,Blockchain,,,,,,,,,,,2018,,France,Paris,No,Unfunded,,,,Distant,,,,,,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old
Climeon,,Industrial and geothermal waste heat recovery product,Energy,,,,,,,,,,,2011,,Sweden,Stockholm,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Climeworks,,Designs and manufactures devices for extracting carbon dioxide from ambient air,Chemicals,https://www.climeworks.com,"Climeworks is an ETH spin-off company that develops a carbon dioxide (CO2) reclaiming system. Its product extracts carbon dioxide from ambient air. It builds three models based on the amount of CO2 extracted - Demonstrator (8kg extraction per day), Collector (135kg extraction per day) and Capture Plants (35kg extraction per hour). Its chief target markets are F&amp;B companies that use CO2 for aeration in food processing and greenhouse owners. It also intends to enable the creation of carbon-neutral synthetic fuels using extracted CO2. Climeworks has also received financing from Gebert Rüf Stiftung, and Vigier Stiftung.",,,,,,,,,2009,,Switzerland,Zurich,Yes,Series C,,36353600,,Existing,,,,,,"Carbon CS, offsetting & trading",Carbon Capture & Storage,Old
Cloud@Sea,,,,http://cloudatsea.com,Blockchain solutions for maritime,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Cntrans,,Online booking portal for freight shipping and management,Maritime,http://www.cargoon.com,"Cntrans, a product of Chinatrans provides an online booking platform for freight shipping. Additional features include access to contract rates, shipping schedules and shipment tracking. Customers can view freight rates from Asia, check vessel sailing schedules and track shipments using the bill of lading, container or booking number. Partners include CIFA, FFSI, WCA, CFLP and IATA among others. The platform is also available as a mobile application for Android and iOS.",,,,,,,,,1995,,China,Shenzhen,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
CO2 Solutions,,Enzyme-enabled carbon capture,Industrial Biotechnology,https://co2solutions.com/,CO2 Solutions is a public company focused on developing technology solutions for carbon capture from stationary sources of pollution. The company has developed a patented solution for enzyme-enabled carbon capture which uses carbonic anhydrase enzyme.,,,,,,,,,1997,,Canada,Quebec City,Yes,Public,,,,Existing,,,,,,"Carbon CS, offsetting & trading",Carbon Capture & Storage,Old
Cognosos,,IoT enabled solution provider using patented communication technology,,https://www.cognosos.com/,"Cognosos is the provider of RadioTrax, an Internet of Things enabled asset tracking solution. The company provides low powered battery devices that monitor the assets in real-time and sends the data to the cloud. The company delivers the solution using a patented technology called RadioCloud. It uses software-defined radio (SDR) technology to reliably communicate over kilometers of range with multi-year battery life. Claims that SDR combined with advanced signal processing in the cloud allows the wireless devices to reliably communicate over kilometers of range. As of May 2018, the company claims to hold approximately 15 Patents (includes both issued and pending).",,,,,,,,,2014,,USA,Atlanta,Yes,Series A,,11400000,,,,,,,,Supply chain optimisation,1.3 Cargo handling equipment,Old
CogoPort,,Online platform for shipping freight internationally,Maritime,https://www.cogoport.com,"Cogoport provides an online platform for booking international freight services. Users can enter the origin and final shipment destination, get instant spot rates and also bids from interested forwarders and make a booking. It also provides door to door services including customs, trucking, dock stuffing and insurance. Customers having recurring freight requirements can also get contracted rates. The platform also provides an overview of shipments' movement through a dashbaord.",,,,,,,,,2016,,India,Mumbai,Yes,Series A,,14381350,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Cogos Technologies,,Intra-city freight transportation aggregator,Logistics,https://cogostech.com,"Cogos is an online marketplace that connects partner carriers with shippers to book intracity freight transportation services in select Indian locations. Users can search, compare and book services from multiple partner operators after providing relevant details. The platform also offers integrated back-end tools such as Delivery Management Systems (DMS) and integrated vehicle tracking technology to its stakeholders, enabling them to manage operations with functionalities such as planning/scheduling/dispatching, bookings management, real-time cargo tracking, digital proof of deliveries (ePOD), and automated invoicing/billing.",,,,,,,,,2016,,India,Bangalore,Yes,Seed,,1000000,,Existing,,,,,,Data & AI,Fleet Utilization,Old
ColoadX,,B2B ocean freight marketplace,,https://www.coloadx.com/home,"CoLoadX is an ocean freight marketplace for freight forwarders, NVOCCs, and logistics service buyers. It provides freight providers and NVOCCs with an access to FCL and LCL shipment rates simplifying the freight buying process for them and help them increase their customer base. Also plans to offer API for logistics software providers to increase revenue from their existing customer base.",,,,,,,,,2015,,USA,New York,Yes,Seed,,1000000,,Emerging,,,,,,Supply chain optimisation,Intelligent freight price discovery,Old
Compare Logistic,,Marketplace for logistic service providers,Maritime,http://comparelogistic.in,"Comparelogistic.in is an online marketplace which was founded by Krima Softtech Pvt. Ltd on September 2014 in Nagpur, India. Compare Logistic allows customers and logistic service providers to search and book for services like transport, courier, cargo, shipping, packers and movers etc. The platform allows logistic service providers to connect with customers and also other shippers for B2B services as well. Users need to specify their requirement on the website. Their query is then forwarded to all the registered service providers who reply with their quotes. The users can accept the quote and move ahead with the service provider which suits them best.",,,,,,,,,2015,,India,Nagpur,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Compass Telematics,,Transit management solution provider,,http://www.compasstelematics.com,"Compass Telematics is a transit management solution provider. Its solutions include vehicle tracking, cold chain transportation, fleet management, and internal communication(between the office and vehicle). Products include compass client, Qtanium, Qube, and MDT 860",,,,,,,,,2012,,Singapore,Singapore,,Undisclosed,,,,,,,,,,Smart Ports,Port bottleneck optimisation,Old
Concirrus,,Insurance underwriting tools leveraging IoT,,http://www.concirrus.com,"Concirrus provides insurance underwriting tools while leveraging IoT. It enables customers to gather and analyze data from the billions of IoT connected devices and uses predictive analytics & machine learning to highlight specific events and make correlations. It provides its offering for the motor, home, and marine insurers.",,,,,,,,,2012,,England,London,Yes,Series C,,14300000,,,,,,,,Physical Process Enhancement,Disaster proofing and management,Old
Conexbird,,Digital twin for structural assessment of containers,,https://conexbird.com/,"Conexbird offers services for logistic and 3PL players to track their shipment, provide information regarding container parameters and data analytics. Conexbird provides the following three solutions:
 1. Wave: It tracks the position of cargo in real time
 2. Wind: It tracks the container condition and identifies bottlenecks in container handling processes
 3. Data tools: Analyse the data captured at various points in the supply chain.The products are based on cloud platform and can be accessed remotely.",,,,,,,,,2013,,Finland,Jyvaskyla,Yes,Seed,,715000,,,,,,,,Physical Process Enhancement,Container logistics optimisation,Old
Conjoule,,P2P Energy marketplace to connect producers and consumers,Blockchain,https://batan.io/,"Conjoule has developed P2P Energy marketplace powered by blockchain technology to connect private Energy producers to local Energy consumers of Energy, as well as owners of batteries and other sources of flexibility, to transact with each other without the need for intermediaries. It is currently being piloted in two German cities. Incubated at Innogy Innovation Hub. Japan's largest utility TEPCO invested Eur 3M in July11, 2017",,,,,,,,,2017,,Germany,Essen,No,Series A,,5127800,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
Consolfreight,,Online platform to connect freight forwarders to consolidators,Maritime,https://consolfreight.com/,"ConsolFreight is an online platform to connect freight forwarders with consolidators.  The company provides e-forwarding services and cargo insurance. It is partnered with companies namely X2 logistics network, Global link, Cargo X, Kingship, Tech cargo, Global value network, etc.",,,,,,,,,2016,,USA,Miami,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Container X change,,Marketplace for the exchange of sea containers,,https://container-xchange.com/,"xChange is an online marketplace for container logistics. The collaborative platform connects container carriers, freight forwarders, container trader and container leasing companies. The platform enables users to exchange empty containers with other users on the platform. Users can also rent containers for one-way basis. Features include document management, real-time container tracking, internal communications, integrated container insurance, and more.",,,,,,,,,2015,,Germany,Hamburg,,Undisclosed,,,,,,,,,,Physical Process Enhancement,Container logistics optimisation,Old
Container Xchange,,Online marketplace for container logistics,Maritime,,"xChange is an online marketplace for container logistics. The collaborative platform connects container carriers, freight forwarders, container trader and container leasing companies. The platform enables users to exchange empty containers with other users on the platform. Users can also rent containers for one-way basis. Features include document management, real-time container tracking, internal communications, integrated container insurance, and more.",,,,,,,,,2015,,,Hamburg,,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
ContainerAuction,,Auction-based marketplace for shipping containers,Maritime,https://containerauction.com/,"ContainerAuction is an auction-based marketplace for new/used shipping containers internationally. The platform enables users to search, view availability, buy/sell shipping containers and schedule a pick-up or have it home delivered. Covers various types of container including new/used 20', 40', & high cube containers.",,,,,,,,,2010,,USA,Cheyenne,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Containerquote,,Online booking platform for container shipping,Maritime,http://www.containerquote.com,"Containerquote provides an online booking platform for LCL and FCL container shipping. Customers can get shipping quotes through the platform by specifying information such as origin and destination port, container size and service type (door to port or port to port). They can compare quotes from multiple carriers and book online. Carrier partners include Maersk Line, APL, MSC, Hapag-Lloyd and Evergreen among others.",,,,,,,,,2009,,USA,Monmouth Junction,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Contguard,,Contguard is a global monitoring company that provides end-to-end service for managing goods in transit.,,https://www.contguard.com/,"Contguard provides its clients with real-time monitoring services for their TEU cargo and also analysis this data to come up with insights for the clients. The company provides ""ContGuard Monitoring unit"", which when installed on maritime containers transmit the information required to track and monitor the cargo’s whereabouts across the globe. Claims its major clients as defence, pharma companies , and other sensitive industries that demand full 24/7 control over their sensitive cargo.",,,,,,,,,2012,,Israel,Hod Hashharon,Yes,Series A,,11500000,,,,,,,,Supply chain optimisation,3.4 Port value added services,Old
Controlant,,Controlant offers unique solutions for asset tracking and the monitoring of perishable goods.,,https://controlant.com/,"Controlant offers automated cloud-based temperature monitoring solutions for food and drugs that need to be manufactured, transported and stored at a specific temperature range. The solution is based on a wireless, automatic sensor network fully developed by Controlant which provides product information to database accessible through web browser. Winner of ""Gulleggið“ – The Golden Egg, a competition held by Innovit in 2009.",,,,,,,,,2007,,Iceland,Reykjavik,Yes,Series A,,2470000,,,,,,,,Supply chain optimisation,4.1 On-vessel optimisation applications and solutions,Old
Convelio,,Tech-enabled freight forwarder for fine art shipping services,Maritime,https://www.convelio.com,"Convelio is a tech-enabled freight forwarder, focused on logistics services of fine art, antiques, design pieces, and other bulky/fragile/valuable/sensitive items. Users can provide relevant load & shipping details to book door-to-door shipping services (including pick-up, last-mile delivery, packing, customs clearance, insurance, etc). The platform also offers additional features for document management, real-time tracking, claims management, and more.",,,,,,,,,2017,,France,Paris,Yes,Series A,,12022140,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Convey,,,,getconvey.com,"Convey helps the world’s largest businesses reduce costs, improve visibility and transform transportation into a competitive advantage.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Cool Planet,,Technology provider to manufacture hydrocarbon fuels and biocarbon products,Industrial Biotechnology,https://www.coolplanet.com,"Cool Planet a technology company harnesses a thermo-mechanical process and proprietary catalysts to turn biomass into green fuels and biochar. The process allows to create green gasoline from non-food sources that capture carbon from the air, and a biocarbon product that sequesters the carbon left over – unlocking the capability for a carbon negative lifecycle. In addition to the fuel, the Cool Planet process creates a solid, inert biocarbon, known as CoolTerra. CoolTerra stood as winner of a 2015 Edison Award for innovation in agriculture, has many potential uses; one of which is as an organic soil enhancer that dramatically increases the retention of water and other nutrients.",,,,,,,,,2009,,USA,Camarillo,Yes,Series E,,182496043,,Existing,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Cool4sea,,Energy saving solutions for maritime industry,,https://www.cool4sea.com/,COOL4SEA develops and realizes cost-effective and environmentally friendly cooling solutions that are especially designed for the maritime transport industry.,,,,,,,,,2014,,Denmark,Svendborg,Yes,Seed,,433000,,Emerging,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Courier Scripts,,Cloud based software solutions for logistics industry,Logistics,https://www.courierscripts.com,"Courier Scripts provides cloud-based software solutions for the logistics industry. Its products include a courier management software, warehouse management software and mobile applications for customers and drivers.  The courier management software includes features such as integration with shopping carts, online stores, and other web applications, modules for tracking, booking, lead management. The customer mobile application can be used for booking and tracking of shipments and the driver application includes assigned shipments, ability to update status and electronic POD collection. As of Sep 2017, its pricing is dependent on features starting at 750 USD.",,,,,,,,,2012,,India,Bangalore,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
COVAL Energy,,Provider of carbon capture and utilization solutions,Chemicals,https://www.covalenergy.com,"COVAL Energy is a provider of carbon capture and utilization solutions. It has developed a high-pressure reactor that enables electrocatalytic reduction of CO2. The carbon is then used for various applications such as electricity storage solutions, CO2 renewable chemicals, liquid syngas, and others.",,,,,,,,,2015,,Netherlands,Delft,No,Unfunded,,,,Existing,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Cozynergy,,Energy renovation services to increase energy savings,Energy,,,,,,,,,,,2013,,France,Toulouse,No,Series A,,6000000,,Emerging,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
CPS,,Air cargo Internet booking portal,Maritime,https://www.cargoportalservices.com/lmsweb/signon.jsp,"Cargo Portal Services (CPS) is an air cargo internet booking portal developed by Unisys. It provides secure, free and real-time access to the vacant spaces of leading air carriers. It also provides carriers the visibility of their allocations, current bookings and shipment status. It can be integrated with any of the customer's back end systems.",,,,,,,,,2003,,USA,Blue Bell,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Crain Technologies,,,,http://site.craintechnologies.com/index.php/en/,Wind propulsion system,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Crusoe Energy,,Offers energy saving services to oil industries to operate more efficiently,Energy,,,,,,,,,,,2018,,USA,Denver,No,Series A,,34500000,,Emerging,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Crux,,,,,"We deliver the information that cargo owners, freight forwarders and truckers need to move cargo more efficiently through terminals.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Crux Systems,,Real-time container tracking,Maritime,https://cruxsystems.com/,"Crux systems provide an online platform which displays real-time container availability information for any import container in US. Customers can add multiple containers to their watchlist and view information like import pickup availability, customs hold and free days. Platform also issues notifications about container status and service appointments to the customers to promote proactive action from involved parties.",,,,,,,,,2014,,USA,Burlingame,Yes,Acquired,,200000,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Cryptosolartech,,Solar Energy pools for generating Energy for crypti mining,Blockchain,https://www.solarex.io,"Cryptosolartech aims to create a solar photovoltaic pool, capable of generating 45,000kW, for cryptocurrency mining process. The company will buy the Energy from this plant and then send it to the crypto mining farm. The company has launched an ICO for obtaining financing for the 45,000 kW photovoltaic electricity generation plant via the Cryptosolartech token.",,,,,,,,,2018,,Spain,Malaga,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
CTB solutions,,Fleet management solutinos and services,,http://www.ctbsolutions.com.my/,"CTB solutions is a software service company providing integrated GPS fleet management solutions for various industries. The key services are the CTB Fleets Data Security and CTB Fleets Assist, both offering solutions for fleet management. While Fleets Data security is a real-time tracking and reporting package, with Fleets Assist, the client gets a dedicated team helping them manage their fleet operations. Features include remote access, temperature and moisture monitoring, customized modules, timely reports etc. less",,,,,,,,,2011,,Malaysia,Puchong Batu Dua Belas,,Undisclosed,,,,,,,,,,Supply chain optimisation,4.2 Fleet management,Old
CTEC Energy,,Electricity from waste heat recovery,Energy,,,,,,,,,,,2010,,England,Newhaven,No,Series A,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
CtrlWorks,,Makes robots with autonomous guidance systems,,http://www.ctrlworks.com/,"CtrlWorks is a Singaporean company that has developed and deployed a cloud based navigation infrastructure and add on kit that helps in reducing the size and weight of robots. The company's flagship product Axon is an autonomous guidance system that can be integrated into existing platforms via its CloudNav system. In addition to funding from Wavemaker group, the company also received funding from Qualcomm Robotics Accelerator Program.",,,,,,,,,2011,,Singapore,,,,,1.4M,,,,,,,,,1.3 Cargo handling equipment,Old
Curtrack IoT,,Provider of M2M solution for real-time remote monitoring of assets,,http://curtrackiot.com/,"Curtrack IoT is a provider of M2M solutions enabling businesses to remotely monitor maintain and control assets in real-time. It offers Asset Remote, a series of GPS trackers enabling remote monitoring of assets and features an intelligent power management algorithm allowing to track continuously after every 15 seconds. The trackers can be programmed to wake up on motion/vibration and go to sleep when stationary. Target industries include transportation & logistics, waste management, manufacturing, construction, and distribution. The company additionally provides solutions in the areas of fleet management, manufacturing, generator monitoring, PLC, heavy equipment etc.",,,,,,,,,2013,,Netherlands,Willemstad,,Undisclosed,,,,,,,,,,Supply chain optimisation,In-land infrastructure development,Old
